,Name,Overall Rank,Position,Team,Points,Games Played,Average Points
0,David Johnson,1,RB,HOU,407.8,16,25.5
1,Aaron Rodgers,2,QB,GB,380.0,16,23.8
2,Matt Ryan,3,QB,ATL,347.5,16,21.7
3,Drew Brees,4,QB,NO,332.3,16,20.8
4,Ezekiel Elliott,5,RB,DAL,325.4,15,21.7
5,Le'Veon Bell,6,RB,KC,317.4,12,26.5
6,Andrew Luck,7,QB,FA,307.6,15,20.5
7,Antonio Brown,8,WR,TB,307.3,15,20.5
8,Jordy Nelson,9,WR,FA,304.7,16,19.0
9,Mike Evans,10,WR,TB,304.1,16,19.0
10,Kirk Cousins,11,QB,MIN,300.7,16,18.8
11,LeSean McCoy,12,RB,TB,299.3,15,20.0
12,Odell Beckham Jr.,13,WR,CLE,296.6,16,18.5
13,DeMarco Murray,14,RB,FA,293.8,16,18.4
14,Dak Prescott,15,QB,DAL,287.1,16,17.9
15,Devonta Freeman,16,RB,BUF,284.1,16,17.8
16,Matthew Stafford,17,QB,LAR,279.7,16,17.5
17,T.Y. Hilton,18,WR,IND,273.8,16,17.1
18,Blake Bortles,19,QB,LAR,271.1,16,16.9
19,Tyrod Taylor,20,QB,LAC,270.9,15,18.1
20,Russell Wilson,21,QB,SEA,270.1,16,16.9
21,Derek Carr,22,QB,LV,268.4,15,17.9
22,Marcus Mariota,23,QB,LV,260.7,15,17.4
23,Andy Dalton,24,QB,DAL,260.6,16,16.3
24,Julio Jones,25,WR,ATL,259.9,14,18.6
25,Philip Rivers,26,QB,IND,259.0,16,16.2
26,Tom Brady,27,QB,TB,258.4,12,21.5
27,Jameis Winston,28,QB,NO,256.5,16,16.0
28,Michael Thomas,29,WR,NO,255.7,15,17.1
29,Cam Newton,30,QB,NE,254.3,15,17.0
30,Doug Baldwin,31,WR,FA,253.6,16,15.9
31,Ben Roethlisberger,32,QB,PIT,252.3,14,18.0
32,Melvin Gordon III,33,RB,DEN,250.6,13,19.3
33,Davante Adams,34,WR,GB,246.7,16,15.4
34,Brandin Cooks,35,WR,HOU,246.3,15,16.4
35,Larry Fitzgerald,36,WR,ARI,244.9,16,15.3
36,Carson Palmer,37,QB,FA,243.2,15,16.2
37,Mark Ingram II,38,RB,HOU,242.2,16,15.1
38,Joe Flacco,39,QB,NYJ,242.0,16,15.1
39,Michael Crabtree,40,WR,FA,239.3,16,15.0
40,LeGarrette Blount,41,RB,FA,232.9,16,14.6
41,Jarvis Landry,42,WR,CLE,231.5,16,14.5
42,Amari Cooper,43,WR,DAL,230.9,16,14.4
43,Julian Edelman,44,WR,NE,230.3,16,14.4
44,Jordan Howard,45,RB,PHI,230.1,15,15.3
45,Demaryius Thomas,46,WR,FA,226.3,16,14.1
46,Alex Smith,47,QB,FA,224.9,15,15.0
47,Eli Manning,48,QB,FA,224.1,16,14.0
48,Golden Tate,49,WR,FA,223.1,16,13.9
49,Travis Kelce,50,TE,KC,223.0,16,13.9
50,Sam Bradford,51,QB,FA,221.9,15,14.8
51,Tyrell Williams,52,WR,DET,216.9,16,13.6
52,Jay Ajayi,53,RB,FA,215.3,15,14.4
53,Frank Gore,54,RB,NYJ,214.3,16,13.4
54,Carson Wentz,55,QB,IND,214.0,16,13.4
55,Terrelle Pryor,56,WR,FA,213.4,16,13.3
56,Emmanuel Sanders,57,WR,NO,212.6,15,14.2
57,Rishard Matthews,58,WR,FA,211.5,16,13.2
58,Kyle Rudolph,59,TE,MIN,209.0,16,13.1
59,Latavius Murray,60,RB,NO,208.2,14,14.9
60,Greg Olsen,61,TE,FA,207.3,16,13.0
61,Isaiah Crowell,62,RB,FA,204.3,16,12.8
62,Mike Wallace,63,WR,FA,202.8,16,12.7
63,Pierre Garcon,64,WR,FA,201.1,16,12.6
64,Colin Kaepernick,65,QB,FA,200.3,11,18.2
65,Allen Robinson II,66,WR,CHI,199.3,16,12.5
66,Tyreek Hill,67,WR,KC,199.0,16,12.4
67,Todd Gurley II,68,RB,ATL,198.2,16,12.4
68,DeAndre Hopkins,69,WR,ARI,197.4,16,12.3
69,Kelvin Benjamin,70,WR,FA,197.1,16,12.3
70,Bilal Powell,71,RB,FA,197.0,16,12.3
71,Kenny Britt,72,WR,FA,196.2,15,13.1
72,Adam Thielen,73,WR,MIN,195.2,16,12.2
73,Spencer Ware,74,RB,CHI,193.9,14,13.9
74,Stefon Diggs,75,WR,BUF,193.3,13,14.9
75,Carlos Hyde,76,RB,SEA,192.1,13,14.8
76,Trevor Siemian,77,QB,NO,191.6,14,13.7
77,Jamison Crowder,78,WR,NYJ,191.5,16,12.0
78,Willie Snead IV,79,WR,BAL,191.5,15,12.8
79,Tevin Coleman,80,RB,SF,191.1,13,14.7
80,Lamar Miller,81,RB,WAS,191.1,14,13.7
81,Ryan Tannehill,82,QB,TEN,190.4,13,14.7
82,Jimmy Graham,83,TE,CHI,189.3,16,11.8
83,Cole Beasley,84,WR,BUF,189.0,16,11.8
84,Delanie Walker,85,TE,FA,188.1,15,12.5
85,A.J. Green,86,WR,CIN,186.4,10,18.6
86,Brandon LaFell,87,WR,FA,186.0,16,11.6
87,Sterling Shepard,88,WR,NYG,184.4,16,11.5
88,Steve Smith,89,WR,FA,183.9,14,13.1
89,Matt Forte,90,RB,FA,183.6,14,13.1
90,Zach Ertz,91,TE,PHI,183.6,14,13.1
91,DeSean Jackson,92,WR,FA,180.5,15,12.0
92,Dez Bryant,93,WR,BAL,180.0,13,13.9
93,Cameron Meredith,94,WR,FA,179.5,14,12.8
94,Matt Bryant,95,K,FA,179.0,16,11.2
95,Jeremy Hill,96,RB,FA,176.3,15,11.8
96,Justin Tucker,97,K,BAL,175.0,16,10.9
97,Minnesota Vikings,97,DST,MIN,175.0,16,10.9
98,Anquan Boldin,99,WR,FA,173.4,16,10.8
99,Marqise Lee,100,WR,NE,172.4,16,10.8
100,Marvin Jones Jr.,101,WR,DET,172.3,15,11.5
101,Jordan Matthews,102,WR,SF,171.4,14,12.2
102,Terrance West,103,RB,FA,171.0,16,10.7
103,Cameron Brate,103,TE,TB,171.0,15,11.4
104,Arizona Cardinals,105,DST,ARI,169.0,16,10.6
105,Philadelphia Eagles,105,DST,PHI,169.0,16,10.6
106,Dennis Pitta,107,TE,FA,168.9,16,10.6
107,Brock Osweiler,108,QB,FA,168.9,15,11.3
108,Quincy Enunwa,108,WR,FA,168.9,16,10.6
109,Jordan Reed,110,TE,SF,168.6,12,14.1
110,Kenny Stills,111,WR,BUF,168.6,16,10.5
111,Martellus Bennett,112,TE,FA,168.1,16,10.5
112,Kansas City Chiefs,113,DST,KC,167.0,16,10.4
113,Denver Broncos,114,DST,DEN,165.0,16,10.3
114,Dontrelle Inman,115,WR,WAS,163.0,16,10.2
115,Darren Sproles,116,RB,FA,162.5,15,10.8
116,Theo Riddick,117,RB,LV,161.8,10,16.2
117,James White,118,RB,NE,161.7,16,10.1
118,New England Patriots,119,DST,NE,160.0,16,10.0
119,Ted Ginn Jr.,120,WR,FA,159.0,16,9.9
120,Brandon Marshall,121,WR,FA,156.7,15,10.5
121,DeVante Parker,122,WR,MIA,154.4,15,10.3
122,Jason Witten,123,TE,LV,152.3,15,10.2
123,Dustin Hopkins,124,K,WAS,151.0,16,9.4
124,New York Giants,125,DST,NYG,150.0,16,9.4
125,Caleb Sturgis,125,K,FA,150.0,16,9.4
126,Adam Vinatieri,127,K,FA,149.0,16,9.3
127,Mohamed Sanu,128,WR,DET,148.8,15,9.9
128,Jerick McKinnon,129,RB,SF,148.4,15,9.9
129,Randall Cobb,130,WR,HOU,148.3,13,11.4
130,Matt Prater,131,K,DET,148.0,16,9.3
131,,132,,,147.8,13,11.4
132,Chris Thompson,133,RB,JAC,147.5,16,9.2
133,Wil Lutz,134,K,NO,147.0,16,9.2
134,Tavon Austin,135,WR,GB,146.8,15,9.8
135,Jeremy Kerley,136,WR,FA,146.7,16,9.2
136,Jonathan Stewart,137,RB,FA,146.4,13,11.3
137,Alshon Jeffery,138,WR,PHI,146.1,12,12.2
138,Jack Doyle,139,TE,IND,145.4,16,9.1
139,Duke Johnson Jr.,140,RB,FA,145.0,16,9.1
140,Ryan Mathews,141,RB,FA,144.6,13,11.1
141,Eric Ebron,142,TE,PIT,144.2,13,11.1
142,Tampa Bay Buccaneers,143,DST,TB,143.0,16,8.9
143,Devontae Booker,144,RB,LV,142.7,16,8.9
144,Seattle Seahawks,145,DST,SEA,142.0,16,8.9
145,Taylor Gabriel,146,WR,FA,141.9,12,11.8
146,Graham Gano,147,K,NYG,141.0,16,8.8
147,Nick Novak,147,K,FA,141.0,15,9.4
148,Ty Montgomery,149,RB,NO,140.5,15,9.4
149,Sebastian Janikowski,150,K,FA,140.0,15,9.3
150,Dan Bailey,150,K,FA,140.0,16,8.8
151,Stephen Gostkowski,150,K,TEN,140.0,16,8.8
152,J.J. Nelson,153,WR,IND,139.1,14,9.9
153,Cairo Santos,154,K,CHI,139.0,16,8.7
154,Rashad Jennings,155,RB,FA,138.4,13,10.7
155,Stephen Hauschka,156,K,FA,138.0,16,8.6
156,T.J. Yeldon,157,RB,BUF,137.7,15,9.2
157,Coby Fleener,158,TE,FA,137.3,16,8.6
158,Christine Michael,159,RB,FA,137.0,15,9.1
159,Charles Clay,160,TE,FA,136.2,15,9.1
160,Miami Dolphins,161,DST,MIA,136.0,16,8.5
161,Baltimore Ravens,161,DST,BAL,136.0,16,8.5
162,Jason Myers,163,K,SEA,134.0,16,8.4
163,C.J. Fiedorowicz,164,TE,FA,133.9,15,8.9
164,Ryan Fitzpatrick,165,QB,MIA,133.3,14,9.5
165,Adam Humphries,166,WR,FA,133.0,15,8.9
166,Robert Kelley,167,RB,FA,132.6,14,9.5
167,Matt Asiata,168,RB,FA,132.5,16,8.3
168,Travis Benjamin,169,WR,SF,132.4,14,9.5
169,Brandon McManus,170,K,DEN,132.0,16,8.3
170,Hunter Henry,171,TE,LAC,130.2,13,10.0
171,Gary Barnidge,172,TE,FA,130.2,16,8.1
172,Mason Crosby,173,K,GB,129.0,16,8.1
173,Chris Hogan,174,WR,FA,128.9,15,8.6
174,Los Angeles Chargers,175,DST,LAC,128.0,16,8.0
175,Tim Hightower,176,RB,FA,126.8,16,7.9
176,Josh Lambo,177,K,JAC,126.0,16,7.9
177,Eli Rogers,178,WR,FA,126.0,13,9.7
178,Mike Gillislee,179,RB,FA,125.6,15,8.4
179,Terrance Williams,180,WR,FA,125.4,15,8.4
180,Tyler Boyd,181,WR,CIN,124.1,16,7.8
181,Tyler Lockett,182,WR,SEA,124.1,15,8.3
182,Carolina Panthers,183,DST,CAR,123.0,16,7.7
183,Giovani Bernard,184,RB,CIN,122.3,10,12.2
184,Will Fuller V,185,WR,HOU,122.2,14,8.7
185,Pittsburgh Steelers,186,DST,PIT,121.0,16,7.6
186,Buffalo Bills,186,DST,BUF,121.0,16,7.6
187,Zach Miller,188,TE,FA,119.6,10,12.0
188,Ryan Succop,189,K,TB,119.0,16,7.4
189,Robert Woods,190,WR,LAR,118.9,13,9.2
190,Atlanta Falcons,191,DST,ATL,118.0,16,7.4
191,Chandler Catanzaro,191,K,FA,118.0,16,7.4
192,Green Bay Packers,193,DST,GB,117.0,16,7.3
193,Michael Floyd,194,WR,FA,115.8,14,8.3
194,Jalen Richard,195,RB,LV,115.6,16,7.2
195,Brian Quick,196,WR,FA,115.4,16,7.2
196,Dallas Cowboys,197,DST,DAL,115.0,16,7.2
197,Robby Anderson,198,WR,CAR,114.9,14,8.2
198,Vernon Davis,199,TE,FA,114.3,15,7.6
199,Cordarrelle Patterson,200,WR,CHI,113.6,16,7.1
200,Dwayne Allen,201,TE,FA,113.6,14,8.1
201,Nick Folk,202,K,NE,112.0,16,7.0
202,Seth Roberts,203,WR,GB,111.7,16,7.0
203,Cincinnati Bengals,204,DST,CIN,111.0,16,6.9
204,Case Keenum,204,QB,CLE,111.0,10,11.1
205,Chris Boswell,206,K,PIT,110.0,15,7.3
