,Name,Overall Rank,Position,Team,Points,Games Played,Average Points
0,Adrian Peterson,1,RB,DET,347.4,16,21.7
1,Drew Brees,2,QB,NO,345.6,16,21.6
2,Aaron Rodgers,3,QB,GB,344.5,16,21.5
3,,4,,,342.4,16,21.4
4,Tom Brady,5,QB,TB,340.2,16,21.3
5,Brandon Marshall,6,WR,FA,324.5,15,21.6
6,Cam Newton,7,QB,NE,323.3,16,20.2
7,Robert Griffin III,8,QB,FA,318.8,15,21.3
8,Doug Martin,9,RB,FA,311.6,16,19.5
9,,10,,,311.1,16,19.4
10,Matt Ryan,11,QB,ATL,304.7,16,19.0
11,,12,,,300.8,16,18.8
12,A.J. Green,13,WR,CIN,299.8,16,18.7
13,Dez Bryant,14,WR,BAL,299.7,16,18.7
14,,15,,,295.8,16,18.5
15,Demaryius Thomas,16,WR,FA,291.4,16,18.2
16,,17,,,289.4,16,18.1
17,,18,,,283.1,16,17.7
18,Tony Romo,19,QB,FA,279.7,16,17.5
19,Matthew Stafford,20,QB,LAR,276.5,16,17.3
20,Andrew Luck,21,QB,FA,276.4,16,17.3
21,Russell Wilson,22,QB,SEA,275.4,16,17.2
22,Marshawn Lynch,23,RB,FA,269.6,16,16.9
23,Eric Decker,24,WR,FA,269.4,16,16.8
24,,25,,,269.1,16,16.8
25,,26,,,269.0,16,16.8
26,Julio Jones,27,WR,ATL,261.8,16,16.4
27,Vincent Jackson,28,WR,FA,260.4,16,16.3
28,C.J. Spiller,29,RB,FA,255.3,16,16.0
29,Victor Cruz,30,WR,FA,255.2,16,16.0
30,,31,,,254.7,15,17.0
31,,32,,,254.4,16,15.9
32,Alfred Morris,33,RB,NYG,251.3,16,15.7
33,Andy Dalton,34,QB,DAL,250.7,16,15.7
34,,35,,,248.6,16,15.5
35,Jamaal Charles,36,RB,FA,239.5,16,15.0
36,Jimmy Graham,37,TE,CHI,237.2,15,15.8
37,Joe Flacco,38,QB,NYJ,235.1,16,14.7
38,Randall Cobb,39,WR,HOU,234.6,15,15.6
39,,40,,,234.0,16,14.6
40,Eli Manning,41,QB,FA,233.0,16,14.6
41,Jason Witten,42,TE,LV,231.9,16,14.5
42,Sam Bradford,43,QB,FA,230.8,16,14.4
43,Chicago Bears,44,DST,CHI,228.0,15,15.2
44,,45,,,226.4,16,14.2
45,Carson Palmer,46,QB,FA,224.3,15,15.0
46,Ben Roethlisberger,47,QB,PIT,223.9,13,17.2
47,Matt Schaub,48,QB,ATL,223.8,16,14.0
48,,49,,,217.7,16,13.6
49,Stevie Johnson,50,WR,FA,217.6,16,13.6
50,Darren Sproles,51,RB,FA,216.1,13,16.6
51,Steve Smith,52,WR,FA,215.1,16,13.4
52,Ryan Fitzpatrick,53,QB,MIA,214.1,16,13.4
53,Michael Crabtree,54,WR,FA,213.2,14,15.2
54,Matt Forte,55,RB,FA,211.7,14,15.1
55,Chris Johnson,56,RB,FA,210.9,16,13.2
56,Frank Gore,57,RB,NYJ,209.2,14,14.9
57,Philip Rivers,58,QB,IND,208.2,16,13.0
58,Reggie Bush,59,RB,FA,206.8,16,12.9
59,Stevan Ridley,60,RB,FA,205.4,16,12.8
60,,61,,,205.1,15,13.7
61,,62,,,202.6,15,13.5
62,,63,,,200.3,16,12.5
63,LeSean McCoy,64,RB,TB,199.3,12,16.6
64,Rob Gronkowski,65,TE,TB,198.0,11,18.0
65,Seattle Seahawks,66,DST,SEA,196.0,16,12.3
66,New England Patriots,66,DST,NE,196.0,16,12.3
67,Denver Broncos,68,DST,DEN,195.0,16,12.2
68,Jeremy Maclin,69,WR,FA,194.7,15,13.0
69,Mike Wallace,70,WR,FA,194.5,15,13.0
70,,71,,,194.3,16,12.1
71,,72,,,193.4,16,12.1
72,Cecil Shorts,73,WR,FA,192.5,14,13.8
73,,74,,,189.1,16,11.8
74,,75,,,186.4,16,11.7
75,,76,,,186.3,16,11.6
76,,77,,,184.8,16,11.6
77,Jay Cutler,78,QB,FA,184.5,15,12.3
78,Brandon Myers,79,TE,FA,183.6,16,11.5
79,Anquan Boldin,80,WR,FA,183.4,15,12.2
80,Torrey Smith,81,WR,FA,183.4,16,11.5
81,Greg Olsen,82,TE,FA,183.3,16,11.5
82,,83,,,183.2,14,13.1
83,Ryan Tannehill,84,QB,TEN,183.0,16,11.4
84,T.Y. Hilton,85,WR,IND,181.0,15,12.1
85,Los Angeles Chargers,86,DST,LAC,179.0,16,11.2
86,,86,,,179.0,14,12.8
87,,88,,,176.1,16,11.0
88,Cincinnati Bengals,89,DST,CIN,175.0,16,10.9
89,,90,,,173.8,16,10.9
90,Antonio Brown,91,WR,TB,171.1,13,13.2
91,Dennis Pitta,92,TE,FA,169.9,16,10.6
92,,93,,,169.6,15,11.3
93,,94,,,168.4,16,10.5
94,Jordy Nelson,95,WR,FA,167.5,12,14.0
95,,96,,,167.4,14,12.0
96,,97,,,166.6,15,11.1
97,Jermaine Gresham,98,TE,FA,165.7,16,10.4
98,Brandon Weeden,99,QB,FA,165.7,15,11.1
99,,100,,,165.0,16,10.3
100,Larry Fitzgerald,101,WR,ARI,164.6,15,11.0
101,Houston Texans,102,DST,HOU,163.0,16,10.2
102,,103,,,161.3,9,17.9
103,Golden Tate,104,WR,FA,160.7,15,10.7
104,Stephen Gostkowski,105,K,TEN,160.0,16,10.0
105,Andre Roberts,106,WR,BUF,159.3,14,11.4
106,,107,,,158.5,16,9.9
107,Kyle Rudolph,108,TE,MIN,158.3,16,9.9
108,,109,,,157.0,16,9.8
109,Danny Woodhead,110,RB,FA,156.7,16,9.8
110,Matt Bryant,111,K,FA,156.0,16,9.8
111,Los Angeles Rams,111,DST,LAR,156.0,16,9.8
112,Arizona Cardinals,111,DST,ARI,156.0,15,10.4
113,Joique Bell,114,RB,FA,155.9,16,9.7
114,,115,,,155.1,13,11.9
115,Colin Kaepernick,116,QB,FA,155.1,12,12.9
116,,117,,,152.9,10,15.3
117,Darren McFadden,118,RB,FA,152.5,12,12.7
118,,119,,,150.1,16,9.4
119,Green Bay Packers,120,DST,GB,150.0,16,9.4
120,,120,,,150.0,16,9.4
121,Kendall Wright,122,WR,FA,149.0,15,9.9
122,Baltimore Ravens,123,DST,BAL,148.0,16,9.3
123,New York Giants,123,DST,NYG,148.0,16,9.3
124,,123,,,148.0,16,9.3
125,Atlanta Falcons,123,DST,ATL,148.0,16,9.3
126,Martellus Bennett,127,TE,FA,147.6,16,9.2
127,Jeremy Kerley,128,WR,FA,147.2,16,9.2
128,Justin Tucker,129,K,BAL,147.0,16,9.2
129,DeMarco Murray,130,RB,FA,146.4,10,14.6
130,Danny Amendola,130,WR,DET,146.4,11,13.3
131,,132,,,146.0,16,9.1
132,,133,,,145.7,16,9.1
133,Tennessee Titans,134,DST,TEN,145.0,16,9.1
134,,135,,,144.8,10,14.5
135,,135,,,144.8,13,11.1
136,,137,,,144.8,15,9.7
137,,138,,,144.6,16,9.0
138,DeAngelo Williams,139,RB,FA,143.4,16,9.0
139,,140,,,143.2,16,9.0
140,Minnesota Vikings,141,DST,MIN,143.0,16,8.9
141,Connor Barth,142,K,FA,142.0,15,9.5
142,Jacquizz Rodgers,143,RB,FA,141.4,16,8.8
143,,144,,,140.2,13,10.8
144,Brandon LaFell,145,WR,FA,139.2,14,9.9
145,,145,,,139.2,10,13.9
146,Matt Prater,147,K,DET,138.0,16,8.6
147,,148,,,137.7,16,8.6
148,Ryan Mathews,149,RB,FA,136.9,12,11.4
149,Dan Bailey,150,K,FA,135.0,16,8.4
150,Marcel Reece,151,RB,FA,134.7,16,8.4
151,,152,,,134.1,15,8.9
152,Phil Dawson,153,K,FA,134.0,16,8.4
153,,154,,,133.7,15,8.9
154,Pierre Garcon,155,WR,FA,133.6,10,13.4
155,Darrius Heyward-Bey,156,WR,FA,133.2,15,8.9
156,,157,,,133.0,15,8.9
157,New York Jets,158,DST,NYJ,133.0,16,8.3
158,Washington Football Team,158,DST,WAS,133.0,16,8.3
159,Cleveland Browns,158,DST,CLE,133.0,16,8.3
160,,161,,,132.3,11,12.0
161,Sebastian Janikowski,162,K,FA,132.0,16,8.3
162,,163,,,131.6,16,8.2
163,Andrew Hawkins,164,WR,FA,131.3,14,9.4
164,Marcedes Lewis,165,TE,GB,130.0,16,8.1
165,,166,,,129.8,10,13.0
166,Brandon Pettigrew,167,TE,FA,129.7,14,9.3
167,,168,,,129.4,15,8.6
168,Brent Celek,169,TE,FA,129.4,15,8.6
169,San Francisco 49ers,170,DST,SF,129.0,14,9.2
170,,171,,,128.9,16,8.1
171,Pittsburgh Steelers,172,DST,PIT,128.0,16,8.0
172,Kenny Britt,173,WR,FA,127.9,14,9.1
173,DeSean Jackson,174,WR,FA,126.3,11,11.5
174,Adam Vinatieri,175,K,FA,125.0,16,7.8
175,Carolina Panthers,176,DST,CAR,124.0,16,7.8
176,Miami Dolphins,177,DST,MIA,123.0,16,7.7
177,Stephen Hauschka,178,K,FA,120.0,16,7.5
178,Buffalo Bills,178,DST,BUF,120.0,16,7.5
179,Lance Kendricks,180,TE,FA,119.9,16,7.5
180,Jacob Tamme,181,TE,FA,119.5,16,7.5
181,Jared Cook,182,TE,FA,118.3,13,9.1
182,Indianapolis Colts,183,DST,IND,118.0,16,7.4
183,Mark Sanchez,184,QB,FA,117.9,15,7.9
184,,185,,,117.8,14,8.4
185,,186,,,117.4,16,7.3
186,Benjamin Watson,187,TE,FA,117.1,16,7.3
187,New Orleans Saints,188,DST,NO,116.0,16,7.3
188,Dwayne Allen,189,TE,FA,115.6,16,7.2
189,,190,,,115.4,10,11.5
190,Rod Streater,190,WR,FA,115.4,16,7.2
191,,192,,,115.0,16,7.2
192,,193,,,114.5,16,7.2
193,Mike Tolbert,194,RB,FA,114.1,16,7.1
194,Mason Crosby,195,K,GB,114.0,16,7.1
195,Tampa Bay Buccaneers,195,DST,TB,114.0,16,7.1
196,Chad Henne,197,QB,KC,113.8,10,11.4
197,,198,,,113.5,16,7.1
198,,199,,,112.5,8,14.1
199,,200,,,112.0,16,7.0
200,,201,,,111.0,16,6.9
201,Dallas Cowboys,201,DST,DAL,111.0,16,6.9
202,,203,,,110.8,16,6.9
203,,204,,,110.0,14,7.9
204,,205,,,109.3,12,9.1
205,,206,,,109.1,10,10.9
206,Emmanuel Sanders,207,WR,NO,109.0,16,6.8
207,Ryan Succop,207,K,TB,109.0,16,6.8
208,,209,,,108.1,14,7.7
209,Greg Zuerlein,210,K,DAL,108.0,16,6.8
210,,211,,,107.7,13,8.3
211,,212,,,107.0,16,6.7
212,,213,,,106.6,16,6.7
213,,214,,,106.2,16,6.6
