,Name,Overall Rank,Position,Team,Points,Games Played,Average Points
0,Todd Gurley II,1,RB,ATL,383.3,15,25.6
1,Russell Wilson,2,QB,SEA,347.8,16,21.7
2,Le'Veon Bell,3,RB,KC,341.6,15,22.8
3,Alvin Kamara,4,RB,NO,315.4,16,19.7
4,Antonio Brown,5,WR,TB,310.3,14,22.2
5,DeAndre Hopkins,6,WR,ARI,309.8,15,20.7
6,Cam Newton,7,QB,NE,299.5,16,18.7
7,Tom Brady,8,QB,TB,295.9,16,18.5
8,Kareem Hunt,9,RB,CLE,295.2,16,18.5
9,Alex Smith,10,QB,FA,295.1,15,19.7
10,Melvin Gordon III,11,RB,DEN,288.1,16,18.0
11,Keenan Allen,12,WR,LAC,284.2,16,17.8
12,Carson Wentz,13,QB,IND,283.7,13,21.8
13,Mark Ingram II,14,RB,HOU,278.0,16,17.4
14,Kirk Cousins,15,QB,MIN,277.6,16,17.4
15,Matthew Stafford,16,QB,LAR,273.8,16,17.1
16,Philip Rivers,17,QB,IND,270.5,16,16.9
17,LeSean McCoy,18,RB,TB,263.6,16,16.5
18,Drew Brees,19,QB,NO,262.6,16,16.4
19,Larry Fitzgerald,20,WR,ARI,261.4,16,16.3
20,Dak Prescott,21,QB,DAL,260.8,16,16.3
21,Ben Roethlisberger,22,QB,PIT,260.6,15,17.4
22,Jarvis Landry,23,WR,CLE,260.0,16,16.3
23,Michael Thomas,24,WR,NO,258.5,16,16.2
24,Jared Goff,25,QB,DET,255.5,15,17.0
25,Julio Jones,26,WR,ATL,251.9,16,15.7
26,Blake Bortles,27,QB,LAR,249.7,16,15.6
27,Adam Thielen,28,WR,MIN,239.8,16,15.0
28,Tyreek Hill,29,WR,KC,239.2,15,16.0
29,Case Keenum,30,QB,CLE,238.1,15,15.9
30,Carlos Hyde,31,RB,SEA,234.0,16,14.6
31,Travis Kelce,32,TE,KC,233.5,15,15.6
32,Leonard Fournette,33,RB,TB,230.2,13,17.7
33,Christian McCaffrey,34,RB,CAR,228.6,16,14.3
34,Matt Ryan,35,QB,ATL,228.1,16,14.3
35,Rob Gronkowski,36,TE,TB,227.3,13,17.5
36,A.J. Green,37,WR,CIN,226.8,16,14.2
37,Doug Baldwin,38,WR,FA,225.3,16,14.1
38,Marvin Jones Jr.,39,WR,DET,225.1,16,14.1
39,Golden Tate,40,WR,FA,224.5,16,14.0
40,Tyrod Taylor,41,QB,LAC,222.6,15,14.8
41,Davante Adams,42,WR,GB,222.5,14,15.9
42,Brandin Cooks,43,WR,HOU,221.2,16,13.8
43,Duke Johnson Jr.,44,RB,FA,216.1,16,13.5
44,Andy Dalton,45,QB,DAL,210.7,16,13.2
45,Marcus Mariota,46,QB,LV,210.4,15,14.0
46,Derek Carr,47,QB,LV,206.3,15,13.8
47,Jacoby Brissett,48,QB,IND,206.0,16,12.9
48,Demaryius Thomas,49,WR,FA,205.9,16,12.9
49,Josh McCown,50,QB,FA,205.6,13,15.8
50,Ezekiel Elliott,51,RB,DAL,203.2,10,20.3
51,Mike Evans,52,WR,TB,203.1,15,13.5
52,Jacksonville Jaguars,53,DST,JAC,203.0,16,12.7
53,Zach Ertz,54,TE,PHI,202.4,14,14.5
54,Jameis Winston,55,QB,NO,201.8,13,15.5
55,Devonta Freeman,56,RB,BUF,200.2,14,14.3
56,Robby Anderson,57,WR,CAR,200.0,16,12.5
57,Jordan Howard,58,RB,PHI,199.5,16,12.5
58,Stefon Diggs,59,WR,BUF,198.2,14,14.2
59,Dion Lewis,60,RB,NYG,197.0,16,12.3
60,Alshon Jeffery,61,WR,PHI,195.9,16,12.2
61,Devin Funchess,62,WR,GB,195.0,16,12.2
62,Lamar Miller,63,RB,WAS,193.5,16,12.1
63,Nelson Agholor,64,WR,LV,193.5,16,12.1
64,JuJu Smith-Schuster,65,WR,PIT,191.7,14,13.7
65,Eli Manning,66,QB,FA,187.3,15,12.5
66,Dez Bryant,67,WR,BAL,186.5,16,11.7
67,Baltimore Ravens,68,DST,BAL,186.0,16,11.6
68,Joe Flacco,69,QB,NYJ,184.9,16,11.6
69,Greg Zuerlein,70,K,DAL,182.0,14,13.0
70,Jerick McKinnon,71,RB,SF,178.1,16,11.1
71,Cooper Kupp,72,WR,LAR,176.9,15,11.8
72,Jermaine Kearse,73,WR,FA,176.0,16,11.0
73,DeShone Kizer,74,QB,TEN,175.9,15,11.7
74,T.Y. Hilton,75,WR,IND,175.6,16,11.0
75,C.J. Anderson,76,RB,FA,175.1,16,10.9
76,Kenny Stills,77,WR,BUF,174.7,16,10.9
77,Delanie Walker,78,TE,FA,174.5,16,10.9
78,Mohamed Sanu,79,WR,DET,174.3,15,11.6
79,Frank Gore,80,RB,NYJ,173.6,16,10.9
80,Evan Engram,80,TE,NYG,173.6,15,11.6
81,Stephen Gostkowski,82,K,TEN,172.0,16,10.8
82,Michael Crabtree,83,WR,FA,171.8,13,13.2
83,DeMarco Murray,84,RB,FA,171.5,15,11.4
84,Jimmy Graham,85,TE,CHI,171.0,16,10.7
85,Alex Collins,86,RB,SEA,171.0,15,11.4
