,Name,Overall Rank,Position,Team,Points,Games Played,Average Points
86,Los Angeles Rams,87,DST,LAR,170.0,16,10.6
87,Philadelphia Eagles,87,DST,PHI,170.0,16,10.6
88,Robbie Gould,87,K,SF,170.0,16,10.6
89,Jack Doyle,90,TE,IND,169.0,15,11.3
90,Deshaun Watson,91,QB,HOU,168.8,7,24.1
91,,92,,,168.6,16,10.5
92,Tevin Coleman,93,RB,SF,167.9,15,11.2
93,Javorius Allen,94,RB,FA,166.1,16,10.4
94,Marshawn Lynch,95,RB,FA,164.3,15,11.0
95,Robert Woods,96,WR,LAR,163.3,12,13.6
96,Matt Bryant,97,K,FA,162.0,16,10.1
97,Justin Tucker,97,K,BAL,162.0,16,10.1
98,Wil Lutz,99,K,NO,161.0,16,10.1
99,Jamison Crowder,100,WR,NYJ,160.3,15,10.7
100,Los Angeles Chargers,101,DST,LAC,160.0,16,10.0
101,Harrison Butker,101,K,KC,160.0,13,12.3
102,Ted Ginn Jr.,103,WR,FA,159.6,15,10.6
103,Randall Cobb,104,WR,HOU,159.4,14,11.4
104,Chris Boswell,105,K,PIT,159.0,16,9.9
105,Amari Cooper,106,WR,DAL,158.4,14,11.3
106,Kyle Rudolph,107,TE,MIN,158.2,16,9.9
107,Jay Cutler,108,QB,FA,157.7,14,11.3
108,Latavius Murray,109,RB,NO,157.4,16,9.8
109,Detroit Lions,110,DST,DET,157.0,16,9.8
110,Rishard Matthews,111,WR,FA,156.2,14,11.2
111,Ryan Succop,112,K,TB,156.0,16,9.8
112,Theo Riddick,113,RB,LV,154.0,16,9.6
113,Giovani Bernard,114,RB,CIN,151.7,16,9.5
114,Chris Thompson,115,RB,JAC,151.4,10,15.1
115,Mike Wallace,116,WR,FA,151.2,15,10.1
116,Matt Prater,117,K,DET,151.0,16,9.4
117,New Orleans Saints,117,DST,NO,151.0,16,9.4
118,Paul Richardson Jr.,119,WR,FA,150.3,16,9.4
119,Kai Forbath,120,K,LAR,148.0,16,9.3
120,Marqise Lee,121,WR,NE,147.9,13,11.4
121,Jason Witten,122,TE,LV,147.0,16,9.2
122,Sammy Watkins,123,WR,KC,146.3,15,9.8
123,Bilal Powell,124,RB,FA,145.2,15,9.7
124,Tarik Cohen,125,RB,CHI,144.6,16,9.0
125,Sterling Shepard,126,WR,NYG,144.5,11,13.1
126,Isaiah Crowell,127,RB,FA,143.5,16,9.0
127,Cameron Brate,128,TE,TB,143.1,16,8.9
128,Jamaal Williams,129,RB,GB,142.8,15,9.5
129,Kenyan Drake,130,RB,ARI,142.3,16,8.9
130,Seattle Seahawks,131,DST,SEA,142.0,16,8.9
131,Joe Mixon,132,RB,CIN,141.3,14,10.1
132,Jake Elliott,133,K,PHI,139.0,14,9.9
133,Danny Amendola,134,WR,DET,138.9,15,9.3
134,DeSean Jackson,135,WR,FA,138.6,14,9.9
135,Pittsburgh Steelers,136,DST,PIT,138.0,16,8.6
136,Chicago Bears,136,DST,CHI,138.0,16,8.6
137,Tyrell Williams,138,WR,DET,137.8,16,8.6
138,Orleans Darkwa,139,RB,FA,137.7,15,9.2
139,Jordy Nelson,140,WR,FA,137.2,14,9.8
140,Benjamin Watson,140,TE,FA,137.2,16,8.6
141,Carolina Panthers,142,DST,CAR,137.0,16,8.6
142,Phil Dawson,142,K,FA,137.0,16,8.6
143,Stephen Hauschka,142,K,FA,137.0,16,8.6
144,Kelvin Benjamin,145,WR,FA,135.2,14,9.7
145,Jay Ajayi,146,RB,FA,135.1,14,9.7
146,Derrick Henry,147,RB,TEN,135.0,16,8.4
147,Mitchell Trubisky,148,QB,CHI,134.6,12,11.2
148,James White,149,RB,NE,134.0,14,9.6
149,Keelan Cole Sr.,150,WR,JAC,132.8,16,8.3
150,Jared Cook,151,TE,FA,132.7,16,8.3
151,Martavis Bryant,152,WR,FA,132.5,15,8.8
152,Eric Ebron,153,TE,PIT,132.4,16,8.3
153,Graham Gano,154,K,NYG,131.0,16,8.2
154,DeVante Parker,155,WR,MIA,130.0,13,10.0
155,Rex Burkhead,156,RB,NE,129.8,10,13.0
156,Aaron Rodgers,157,QB,GB,129.5,7,18.5
157,Adam Humphries,158,WR,FA,128.7,16,8.0
158,Hunter Henry,159,TE,LAC,126.9,12,10.6
159,Kendall Wright,160,WR,FA,126.4,14,9.0
160,Ryan Grant,161,WR,FA,126.3,16,7.9
161,Trevor Siemian,162,QB,NO,126.2,11,11.5
162,Adam Vinatieri,163,K,FA,125.0,15,8.3
163,Brandon LaFell,164,WR,FA,124.8,16,7.8
164,Brett Hundley,165,QB,ARI,124.6,11,11.3
165,Tyler Kroft,166,TE,BUF,124.4,15,8.3
166,Ameer Abdullah,167,RB,MIN,124.4,14,8.9
167,Travis Benjamin,168,WR,SF,124.3,16,7.8
168,Kansas City Chiefs,169,DST,KC,124.0,16,7.8
169,New England Patriots,170,DST,NE,123.0,16,7.7
170,Vernon Davis,171,TE,FA,121.8,16,7.6
171,Matt Forte,172,RB,FA,121.4,12,10.1
172,Minnesota Vikings,173,DST,MIN,120.0,16,7.5
173,Chandler Catanzaro,173,K,FA,120.0,15,8.0
174,Josh Doctson,175,WR,NYJ,119.8,15,8.0
175,Austin Hooper,176,TE,CLE,119.6,16,7.5
176,Tyler Lockett,177,WR,SEA,118.3,16,7.4
177,Jonathan Stewart,178,RB,FA,117.2,15,7.8
178,Charles Clay,179,TE,FA,116.8,13,9.0
179,Eric Decker,180,WR,FA,116.3,16,7.3
180,Albert Wilson,181,WR,MIA,116.0,13,8.9
181,Emmanuel Sanders,182,WR,NO,114.5,12,9.5
182,Dallas Cowboys,183,DST,DAL,114.0,16,7.1
183,Will Fuller V,184,WR,HOU,113.2,10,11.3
184,Washington Football Team,185,DST,WAS,112.0,16,7.0
185,Terrance Williams,186,WR,FA,111.3,16,7.0
186,Tennessee Titans,187,DST,TEN,110.0,16,6.9
187,Chris Hogan,188,WR,FA,109.6,9,12.2
188,Arizona Cardinals,189,DST,ARI,109.0,16,6.8
189,Denver Broncos,189,DST,DEN,109.0,16,6.8
190,Brandon McManus,189,K,DEN,109.0,15,7.3
191,Samaje Perine,192,RB,CIN,108.5,13,8.4
192,,193,,,108.0,16,6.8
193,LeGarrette Blount,194,RB,FA,107.6,16,6.7
194,Austin Ekeler,195,RB,LAC,106.9,14,7.6
195,George Kittle,196,TE,SF,106.5,15,7.1
196,Deonte Thompson,197,WR,FA,105.0,16,6.6
197,Wayne Gallman,198,RB,NYG,104.9,13,8.1
198,Ka'imi Fairbairn,199,K,HOU,104.0,15,6.9
199,Buffalo Bills,199,DST,BUF,104.0,16,6.5
200,Matt Breida,201,RB,MIA,103.5,16,6.5
201,Marlon Mack,202,RB,IND,103.3,14,7.4
202,Jaron Brown,203,WR,ARI,102.7,16,6.4
203,Carson Palmer,204,QB,FA,102.4,7,14.6
204,Jeremy Maclin,205,WR,FA,102.0,12,8.5
205,Austin Seferian-Jenkins,206,TE,FA,101.7,13,7.8
206,O.J. Howard,207,TE,TB,101.2,13,7.8
207,Cincinnati Bengals,208,DST,CIN,100.0,16,6.3
208,Allen Hurns,209,WR,MIA,99.4,10,9.9
209,Atlanta Falcons,210,DST,ATL,99.0,16,6.2
210,Jesse James,211,TE,FA,98.2,14,7.0
211,Julius Thomas,212,TE,FA,97.8,14,7.0
212,J.D. McKissic,213,RB,WAS,97.3,12,8.1
213,Tampa Bay Buccaneers,214,DST,TB,97.0,16,6.1
214,Cody Parkey,214,K,CLE,97.0,15,6.5
215,Trent Taylor,216,WR,SF,96.0,15,6.4
216,David Njoku,217,TE,CLE,94.7,16,5.9
217,Kenny Golladay,218,WR,DET,94.6,11,8.6
218,Green Bay Packers,219,DST,GB,94.0,16,5.9
219,J.J. Nelson,220,WR,IND,93.1,16,5.8
220,Chris Godwin,221,WR,TB,92.5,15,6.2
221,Corey Clement,222,RB,PHI,92.4,15,6.2
222,Rod Smith,223,RB,NYG,92.4,13,7.1
223,Indianapolis Colts,224,DST,IND,92.0,16,5.8
224,Ty Montgomery,225,RB,NO,91.6,8,11.5
225,Cole Beasley,226,WR,BUF,91.4,15,6.1
226,Devontae Booker,227,RB,LV,91.4,13,7.0
227,Randy Bullock,228,K,CIN,91.0,14,6.5
228,Torrey Smith,229,WR,FA,90.7,16,5.7
229,Seth Roberts,230,WR,GB,90.5,15,6.0
230,Pierre Garcon,231,WR,FA,90.0,8,11.3
231,Miami Dolphins,232,DST,MIA,90.0,16,5.6
232,,232,,,90.0,15,6.0
233,Roger Lewis,234,WR,FA,89.6,15,6.0
234,C.J. Beathard,235,QB,SF,88.8,6,14.8
235,New York Giants,236,DST,NYG,88.0,16,5.5
236,Jimmy Garoppolo,237,QB,SF,87.9,6,14.7
237,Marcedes Lewis,238,TE,GB,87.8,16,5.5
238,T.J. Yeldon,239,RB,BUF,87.7,10,8.8
239,Andre Ellington,240,RB,FA,87.4,11,8.0
240,Josh Lambo,241,K,JAC,87.0,10,8.7
241,Jalen Richard,242,RB,LV,86.1,16,5.4
242,Cordarrelle Patterson,243,WR,CHI,86.0,16,5.4
243,Patrick Murray,243,K,FA,86.0,12,7.2
244,Peyton Barber,245,RB,WAS,85.7,13,6.6
245,DeAndre Washington,246,RB,MIA,85.0,15,5.7
246,Chris Ivory,247,RB,FA,84.7,14,6.1
247,Aldrick Rosas,248,K,JAC,84.0,16,5.3
248,Mason Crosby,248,K,GB,84.0,15,5.6
249,Shane Vereen,250,RB,FA,83.7,16,5.2
250,Bennie Fowler III,251,WR,NO,82.0,15,5.5
251,Houston Texans,251,DST,HOU,82.0,16,5.1
252,Taylor Gabriel,253,WR,FA,81.7,16,5.1
253,Dan Bailey,254,K,FA,81.0,11,7.4
254,Aaron Jones,255,RB,GB,80.0,10,8.0
255,Trey Burton,256,TE,IND,79.8,14,5.7
256,Ed Dickson,257,TE,FA,79.7,14,5.7
257,,258,,,79.6,16,5.0
258,San Francisco 49ers,259,DST,SF,79.0,16,4.9
259,Adrian Peterson,260,RB,DET,78.9,10,7.9
260,Garrett Celek,261,TE,FA,78.6,13,6.1
261,Zane Gonzalez,262,K,FA,78.0,16,4.9
262,TJ Jones,263,WR,FA,77.9,13,6.0
263,Jermaine Gresham,264,TE,FA,77.2,14,5.5
264,Donte Moncrief,265,WR,NE,77.1,12,6.4
265,Seth DeValve,266,TE,ARI,76.5,16,4.8
266,Elijah McGuire,267,RB,KC,76.2,15,5.1
267,Doug Martin,268,RB,FA,76.0,11,6.9
268,Bruce Ellington,269,WR,FA,75.7,11,6.9
269,Cleveland Browns,270,DST,CLE,75.0,16,4.7
270,Odell Beckham Jr.,271,WR,CLE,74.0,4,18.5
271,Brandon Coleman,272,WR,FA,73.8,15,4.9
272,Ryan Fitzpatrick,273,QB,MIA,73.7,6,12.3
273,Charles Sims,274,RB,FA,73.4,15,4.9
274,Charcandrick West,275,RB,FA,73.2,12,6.1
275,Alfred Morris,276,RB,NYG,72.2,13,5.6
276,New York Jets,277,DST,NYJ,72.0,16,4.5
277,Zay Jones,278,WR,LV,70.6,14,5.0
278,John Brown,279,WR,FA,69.9,10,7.0
279,Kyle Juszczyk,280,RB,SF,69.6,14,5.0
280,Corey Davis,281,WR,TEN,69.5,11,6.3
281,Mike Gillislee,282,RB,FA,68.8,9,7.6
282,Rashard Higgins,283,WR,CLE,68.6,14,4.9
283,Josh Bellamy,284,WR,FA,68.2,11,6.2
284,Brock Osweiler,285,QB,FA,68.1,6,11.4
285,Las Vegas Raiders,286,DST,LV,68.0,16,4.3
286,Kerwynn Williams,287,RB,FA,67.9,16,4.2
287,Jamaal Charles,288,RB,FA,67.5,13,5.2
288,Dede Westbrook,289,WR,JAC,66.9,7,9.6
289,Chris Moore,290,WR,BAL,65.9,12,5.5
290,Corey Coleman,291,WR,NYG,65.5,9,7.3
291,Dalvin Cook,292,RB,MIN,65.4,4,16.4
292,Dontrelle Inman,293,WR,WAS,65.3,10,6.5
293,Stephen Anderson,294,TE,LAC,65.2,14,4.7
294,Brice Butler,295,WR,FA,64.7,12,5.4
295,Nick O'Leary,296,TE,LV,64.2,13,4.9
296,Dustin Hopkins,297,K,WAS,64.0,8,8.0
297,Brian Hoyer,298,QB,NE,64.0,10,6.4
298,Coby Fleener,299,TE,FA,63.5,11,5.8
299,Ricardo Louis,300,WR,FA,62.7,14,4.5
300,Cody Latimer,301,WR,FA,61.7,11,5.6
301,Blaine Gabbert,302,QB,TB,61.6,5,12.3
302,Tyler Higbee,303,TE,LAR,60.5,14,4.3
303,Tavarres King,304,WR,FA,60.3,8,7.5
304,Justin Hardy,305,WR,FA,60.1,10,6.0
305,Jordan Reed,306,TE,SF,60.1,6,10.0
306,,307,,,59.6,10,6.0
307,Rhett Ellison,308,TE,FA,59.5,14,4.3
308,Nick Rose,309,K,FA,59.0,10,5.9
309,Martellus Bennett,310,TE,FA,58.6,9,6.5
310,Danny Woodhead,311,RB,FA,58.6,8,7.3
311,Chester Rogers,312,WR,TEN,58.2,10,5.8
312,Kenny Britt,313,WR,FA,57.6,12,4.8
313,,314,,,57.5,5,11.5
314,Jordan Matthews,315,WR,SF,57.2,10,5.7
315,D'Onta Foreman,316,RB,TEN,57.0,9,6.3
316,Aldrick Robinson,316,WR,FA,57.0,14,4.1
317,Connor Barth,316,K,FA,57.0,10,5.7
318,Benny Cunningham,319,RB,FA,56.9,14,4.1
319,Tyler Boyd,320,WR,CIN,56.5,10,5.7
320,Zach Miller,321,TE,FA,55.6,8,7.0
321,A.J. Derby,322,TE,FA,55.4,11,5.0
322,Luke Willson,323,TE,SEA,54.3,13,4.2
323,Mike Nugent,324,K,ARI,54.0,8,6.8
324,Jason Myers,325,K,SEA,53.0,6,8.8
325,Darren Fells,326,TE,HOU,52.7,14,3.8
326,Mike Davis,327,RB,CAR,52.1,6,8.7
327,Gerald Everett,328,TE,LAR,51.7,14,3.7
328,Tom Savage,329,QB,FA,50.7,8,6.3
329,Mike Tolbert,330,RB,FA,50.5,12,4.2
330,Drew Stanton,331,QB,TB,50.3,5,10.1
331,Nick Boyle,332,TE,BAL,50.3,15,3.4
332,Ricky Seals-Jones,333,TE,KC,50.1,8,6.3
333,Terrelle Pryor,334,WR,FA,50.0,8,6.3
334,Jarius Wright,335,WR,FA,49.8,12,4.2
335,Taywan Taylor,336,WR,CLE,49.4,16,3.1
336,Jacquizz Rodgers,337,RB,FA,46.8,16,2.9
337,Wendell Smallwood,338,RB,PIT,46.7,8,5.8
338,Michael Campanaro,339,WR,FA,46.5,13,3.6
339,Demetrius Harris,340,TE,CHI,46.4,13,3.6
340,Geronimo Allison,341,WR,DET,46.3,12,3.9
341,Nick Novak,342,K,FA,46.0,7,6.6
342,Jonnu Smith,343,TE,TEN,45.7,14,3.3
343,Jeremy Kerley,343,WR,FA,45.7,8,5.7
344,Russell Shepard,345,WR,FA,45.1,14,3.2
345,Malcolm Brown,346,RB,LAR,44.9,11,4.1
346,Johnny Holton,347,WR,NYG,44.8,12,3.7
347,Mack Hollins,348,WR,MIA,44.6,12,3.7
348,Alfred Blue,349,RB,FA,44.6,9,5.0
349,Jakeem Grant,350,WR,MIA,44.5,15,3.0
350,Lance Kendricks,351,TE,FA,44.3,13,3.4
351,Tavon Austin,352,WR,GB,43.7,14,3.1
352,Robert Kelley,353,RB,FA,43.2,7,6.2
353,Andre Holmes,354,WR,FA,43.0,10,4.3
354,Adam Shaheen,355,TE,MIA,42.7,7,6.1
355,Demarcus Robinson,356,WR,KC,42.2,10,4.2
356,Greg Olsen,357,TE,FA,42.1,7,6.0
357,Corey Grant,358,RB,FA,41.9,14,3.0
358,Kendrick Bourne,359,WR,SF,41.7,10,4.2
359,Matt Moore,360,QB,KC,41.3,4,10.3
360,Braxton Miller,360,WR,FA,41.3,10,4.1
361,De'Anthony Thomas,362,WR,FA,40.7,14,2.9
362,Kapri Bibbs,362,RB,FA,40.7,3,13.6
363,Laquon Treadwell,364,WR,ATL,40.0,13,3.1
364,Chris Carson,365,RB,SEA,39.7,4,9.9
365,Virgil Green,366,TE,LAC,39.1,11,3.6
366,Dion Sims,367,TE,FA,39.0,12,3.3
367,Vance McDonald,368,TE,FA,38.8,10,3.9
368,Travaris Cadet,369,RB,FA,37.5,7,5.4
369,Eli Rogers,370,WR,FA,36.9,12,3.1
370,Ryan Griffin,371,TE,NYJ,36.8,6,6.1
371,Levine Toilolo,372,TE,NYG,36.2,10,3.6
372,Alex Erickson,373,WR,CIN,35.6,16,2.2
373,Jeff Heuerman,374,TE,FA,35.2,10,3.5
374,James O'Shaughnessy,375,TE,JAC,34.9,15,2.3
375,Richard Rodgers,376,TE,PHI,34.0,9,3.8
376,T.J. Yates,376,QB,FA,34.0,4,8.5
377,Nick Foles,378,QB,CHI,33.8,7,4.8
378,Kevin Hogan,378,QB,CIN,33.8,4,8.5
379,Damiere Byrd,380,WR,NE,33.7,8,4.2
380,Mike Glennon,381,QB,JAC,33.6,4,8.4
381,Brandon Marshall,382,WR,FA,33.4,5,6.7
382,Curtis Samuel,383,WR,CAR,32.9,8,4.1
383,D.J. Foster,384,RB,ARI,32.2,7,4.6
384,Elijhaa Penny,384,RB,NYG,32.2,10,3.2
385,Phillip Dorsett II,386,WR,SEA,32.1,10,3.2
386,Thomas Rawls,387,RB,FA,32.1,9,3.6
387,Brent Celek,388,TE,FA,32.0,12,2.7
388,Tion Green,389,RB,FA,31.9,5,6.4
389,Nick Vannett,390,TE,DEN,30.4,10,3.0
390,Troy Niklas,391,TE,FA,30.2,11,2.8
391,Josh Hill,392,TE,DET,29.7,10,3.0
392,Nick Folk,393,K,NE,29.0,4,7.3
393,,394,,,28.8,12,2.4
394,Anthony Fasano,395,TE,FA,28.7,9,3.2
395,Eddie Lacy,396,RB,FA,28.6,9,3.2
396,Chris Conley,397,WR,JAC,28.5,5,5.7
397,Kamar Aiken,398,WR,FA,28.3,13,2.2
398,Maxx Williams,399,TE,ARI,28.2,9,3.1
399,Terrance West,400,RB,FA,28.1,5,5.6
400,Josh Reynolds,401,WR,LAR,27.4,10,2.7
401,Jordan Taylor,402,WR,FA,27.2,10,2.7
402,Tommylee Lewis,403,WR,NO,27.0,14,1.9
403,Travis Coons,404,K,FA,27.0,3,9.0
404,Sam Bradford,405,QB,FA,26.9,2,13.5
405,C.J. Fiedorowicz,406,TE,FA,26.7,5,5.3
406,Louis Murphy,407,WR,FA,26.1,6,4.4
407,Eric Tomlinson,407,TE,BAL,26.1,9,2.9
408,Cairo Santos,409,K,CHI,26.0,5,5.2
409,Robert Turbin,410,RB,FA,25.9,6,4.3
410,Daniel Brown,410,TE,NYJ,25.9,9,2.9
411,David Morgan,412,TE,FA,25.5,9,2.8
412,Bryce Petty,413,QB,FA,25.4,4,6.4
413,C.J. Uzomah,414,TE,CIN,25.2,11,2.3
414,Brandon Williams,415,TE,FA,25.1,9,2.8
415,Dwayne Allen,416,TE,FA,24.6,12,2.1
416,Niles Paul,417,TE,FA,22.8,11,2.1
417,Tre McBride,418,WR,FA,22.4,5,4.5
418,Kenjon Barner,419,RB,TB,22.3,13,1.7
419,Jaydon Mickens,420,WR,TB,21.7,10,2.2
420,Paul Perkins,421,RB,IND,21.6,8,2.7
421,C.J. Ham,422,RB,MIN,21.1,14,1.5
422,Brenton Bersin,423,WR,FA,20.8,6,3.5
423,Chris Johnson,424,RB,FA,20.7,4,5.2
424,Anthony Sherman,424,RB,KC,20.7,7,3.0
425,Mike Williams,426,WR,LAC,20.5,9,2.3
426,Brandon Tate,427,WR,FA,20.1,13,1.6
427,Logan Thomas,428,TE,WAS,19.7,5,3.9
428,,429,,,19.6,7,2.8
429,David Fales,430,QB,NYJ,19.4,2,9.7
430,Younghoe Koo,431,K,ATL,19.0,4,4.8
431,James Hanna,432,TE,FA,18.8,8,2.4
432,Josh Malone,433,WR,NYJ,18.5,9,2.1
433,Darren Sproles,434,RB,FA,18.4,3,6.1
434,Chad Hansen,435,WR,HOU,18.4,8,2.3
435,,436,,,18.1,6,3.0
436,,437,,,18.0,5,3.6
437,Pharoh Cooper,437,WR,CAR,18.0,16,1.1
438,Michael Floyd,439,WR,FA,17.8,10,1.8
439,Breshad Perriman,440,WR,NYJ,17.7,11,1.6
440,Fozzy Whittaker,441,RB,FA,17.5,10,1.8
441,Kasen Williams,442,WR,FA,17.4,6,2.9
442,Jeremy Hill,443,RB,FA,17.2,7,2.5
443,Michael Hoomanawanui,443,TE,FA,17.2,7,2.5
444,Jerell Adams,443,TE,DET,17.2,7,2.5
445,C.J. Prosise,446,RB,TB,17.0,4,4.3
446,Clive Walford,447,TE,FA,17.0,6,2.8
447,Branden Oliver,448,RB,FA,16.9,8,2.1
448,ArDarius Stewart,449,WR,FA,16.9,12,1.4
449,Stevan Ridley,450,RB,FA,16.8,2,8.4
450,Cameron Artis-Payne,451,RB,FA,16.7,7,2.4
451,Hunter Sharp,452,WR,FA,16.4,3,5.5
452,Maurice Harris,453,WR,FA,16.2,4,4.1
453,Darrius Heyward-Bey,454,WR,FA,15.9,9,1.8
454,Lee Smith,455,TE,BUF,15.6,8,2.0
455,Terron Ward,456,RB,FA,15.3,5,3.1
456,Willie Snead IV,457,WR,BAL,15.2,8,1.9
457,Kaelin Clay,458,WR,FA,15.2,13,1.2
458,,459,,,15.1,8,1.9
459,Derek Carrier,459,TE,LV,15.1,9,1.7
460,Paxton Lynch,461,QB,FA,15.1,2,7.6
461,Andy Janovich,462,RB,CLE,14.7,12,1.2
462,Roosevelt Nix,463,RB,FA,14.6,10,1.5
463,Freddie Martino,463,WR,FA,14.6,7,2.1
464,Ross Travis,465,TE,NYJ,14.6,10,1.5
465,James Conner,466,RB,PIT,14.4,12,1.2
466,Mike Thomas,467,WR,CIN,14.3,5,2.9
467,Xavier Grimble,468,TE,BAL,14.2,8,1.8
468,Neal Sterling,468,TE,FA,14.2,5,2.8
469,EJ Manuel,470,QB,FA,14.1,2,7.1
470,Marvin Hall,471,WR,CLE,14.0,6,2.3
471,Phillip Supernaw,472,TE,FA,13.9,9,1.5
472,Leonte Carroo,472,WR,FA,13.9,4,3.5
473,Brian Quick,474,WR,FA,13.6,6,2.3
474,Chris Thompson,475,WR,SF,13.4,12,1.1
475,Trevor Davis,476,WR,WAS,13.3,15,0.9
476,David Johnson,477,RB,HOU,13.1,1,13.1
477,Caleb Sturgis,478,K,FA,13.0,1,13.0
478,Sammie Coates,478,WR,FA,13.0,7,1.9
479,Luke Stocker,478,TE,ATL,13.0,4,3.3
480,Tyler Ervin,478,RB,GB,13.0,4,3.3
481,De'Angelo Henderson Sr.,482,RB,FA,12.9,3,4.3
482,Byron Marshall,483,RB,FA,12.8,4,3.2
483,Jaelen Strong,483,WR,FA,12.8,2,6.4
484,Justin Hunter,485,WR,FA,12.3,5,2.5
