,Name,Overall Rank,Position,Team,Points,Games Played,Average Points
0,Christian McCaffrey,1,RB,CAR,471.2,16,29.5
1,Lamar Jackson,2,QB,BAL,421.7,15,28.1
2,Michael Thomas,3,WR,NO,374.6,16,23.4
3,Dak Prescott,4,QB,DAL,348.9,16,21.8
4,Jameis Winston,5,QB,NO,335.2,16,21.0
5,Russell Wilson,6,QB,SEA,333.5,16,20.8
6,Deshaun Watson,7,QB,HOU,333.0,15,22.2
7,Aaron Jones,8,RB,GB,314.8,16,19.7
8,Ezekiel Elliott,9,RB,DAL,311.7,16,19.5
9,Austin Ekeler,10,RB,LAC,309.0,16,19.3
10,Josh Allen,11,QB,BUF,297.5,16,18.6
11,Kyler Murray,12,QB,ARI,297.3,16,18.6
12,Derrick Henry,13,RB,TEN,294.6,15,19.6
13,Dalvin Cook,14,RB,MIN,292.4,14,20.9
14,Patrick Mahomes II,15,QB,KC,291.9,14,20.9
15,Carson Wentz,16,QB,IND,282.9,16,17.7
16,Aaron Rodgers,17,QB,GB,282.3,16,17.6
17,Matt Ryan,18,QB,ATL,281.4,15,18.8
18,Chris Godwin,19,WR,TB,276.1,14,19.7
19,Julio Jones,20,WR,ATL,274.1,15,18.3
20,Tom Brady,21,QB,TB,271.6,16,17.0
21,Cooper Kupp,22,WR,LAR,270.5,16,16.9
22,DeAndre Hopkins,23,WR,ARI,269.5,15,18.0
23,Jared Goff,24,QB,DET,263.5,16,16.5
24,Keenan Allen,25,WR,LAC,261.5,16,16.3
25,Jimmy Garoppolo,26,QB,SF,260.2,16,16.3
26,Leonard Fournette,27,RB,TB,259.4,15,17.3
27,Julian Edelman,28,WR,NE,256.3,16,16.0
28,Philip Rivers,29,QB,IND,255.5,16,16.0
29,Nick Chubb,30,RB,CLE,255.2,16,16.0
30,Allen Robinson II,31,WR,CHI,254.9,16,15.9
31,Ryan Fitzpatrick,32,QB,MIA,254.7,15,17.0
32,Travis Kelce,33,TE,KC,254.3,16,15.9
33,Derek Carr,34,QB,LV,252.5,16,15.8
34,Kirk Cousins,35,QB,MIN,250.4,15,16.7
35,Baker Mayfield,36,QB,CLE,250.3,16,15.6
36,Alvin Kamara,37,RB,NO,248.5,14,17.8
37,Kenny Golladay,38,WR,DET,248.0,16,15.5
38,Amari Cooper,39,WR,DAL,246.5,16,15.4
39,DeVante Parker,40,WR,MIA,246.2,16,15.4
40,Saquon Barkley,41,RB,NYG,244.1,13,18.8
41,Mark Ingram II,42,RB,HOU,242.5,15,16.2
42,Jarvis Landry,43,WR,CLE,237.4,16,14.8
43,New England Patriots,44,DST,NE,236.0,16,14.8
44,Gardner Minshew II,45,QB,JAC,235.3,14,16.8
45,Tyler Lockett,46,WR,SEA,235.2,16,14.7
46,Robert Woods,47,WR,LAR,232.9,15,15.5
47,Mike Evans,48,WR,TB,232.7,13,17.9
48,Chris Carson,49,RB,SEA,232.6,15,15.5
49,D.J. Moore,50,WR,CAR,230.5,15,15.4
50,Ryan Tannehill,51,QB,TEN,230.2,12,19.2
51,Drew Brees,52,QB,NO,228.8,11,20.8
52,Daniel Jones,53,QB,NYG,226.9,13,17.5
53,D.J. Chark Jr.,54,WR,JAC,225.8,15,15.1
54,Joe Mixon,55,RB,CIN,225.4,16,14.1
55,Jacoby Brissett,56,QB,IND,223.7,15,14.9
56,Tyler Boyd,57,WR,CIN,222.9,16,13.9
57,George Kittle,58,TE,SF,222.5,14,15.9
58,Courtland Sutton,59,WR,DEN,222.4,16,13.9
59,Darren Waller,60,TE,LV,221.0,16,13.8
60,John Brown,61,WR,FA,219.8,15,14.7
61,Todd Gurley II,62,RB,ATL,219.4,15,14.6
62,Miles Sanders,63,RB,PHI,218.7,16,13.7
63,Andy Dalton,64,QB,DAL,217.5,13,16.7
64,A.J. Brown,65,WR,TEN,217.1,16,13.6
65,Zach Ertz,66,TE,PHI,215.6,15,14.4
66,Le'Veon Bell,67,RB,KC,215.0,15,14.3
67,Kenyan Drake,68,RB,ARI,214.2,14,15.3
68,Mitchell Trubisky,69,QB,CHI,212.8,15,14.2
69,Michael Gallup,70,WR,DAL,212.7,14,15.2
70,Davante Adams,71,WR,GB,212.7,12,17.7
71,Stefon Diggs,72,WR,BUF,212.1,15,14.1
72,Mark Andrews,73,TE,BAL,207.2,15,13.8
73,Sam Darnold,74,QB,NYJ,202.1,13,15.6
74,Odell Beckham Jr.,75,WR,CLE,201.3,16,12.6
75,James White,76,RB,NE,200.2,15,13.4
76,Phillip Lindsay,77,RB,DEN,197.7,16,12.4
77,Jamison Crowder,77,WR,NYJ,197.7,16,12.4
78,Devonta Freeman,79,RB,BUF,197.6,14,14.1
79,Calvin Ridley,80,WR,ATL,197.0,13,15.2
80,Marvin Jones Jr.,81,WR,DET,193.9,13,14.9
81,Kyle Allen,82,QB,WAS,193.4,14,13.8
82,Terry McLaurin,83,WR,WAS,191.9,14,13.7
83,Austin Hooper,84,TE,CLE,191.7,13,14.8
84,Josh Jacobs,85,RB,LV,191.6,13,14.7
85,Emmanuel Sanders,86,WR,NO,190.3,17,11.2
86,Deebo Samuel,87,WR,SF,189.1,15,12.6
87,Tyreek Hill,88,WR,KC,188.3,12,15.7
88,D.K. Metcalf,89,WR,SEA,187.1,16,11.7
89,Cole Beasley,90,WR,BUF,184.8,15,12.3
90,Marlon Mack,91,RB,IND,181.3,14,13.0
91,Melvin Gordon III,92,RB,DEN,180.8,12,15.1
92,Larry Fitzgerald,93,WR,ARI,177.4,16,11.1
93,Pittsburgh Steelers,94,DST,PIT,173.0,16,10.8
94,Curtis Samuel,95,WR,CAR,171.7,16,10.7
95,Matthew Stafford,96,QB,LAR,171.5,8,21.4
96,David Montgomery,97,RB,CHI,170.4,16,10.7
97,Darius Slayton,98,WR,NYG,170.0,14,12.1
98,Christian Kirk,99,WR,ARI,168.2,13,12.9
99,Jared Cook,100,TE,FA,167.5,14,12.0
100,Ronald Jones II,101,RB,TB,166.3,16,10.4
101,Harrison Butker,102,K,KC,166.0,16,10.4
102,Raheem Mostert,103,RB,SF,165.2,16,10.3
103,Tarik Cohen,104,RB,CHI,163.9,16,10.2
104,Diontae Johnson,105,WR,PIT,163.1,16,10.2
105,Wil Lutz,106,K,NO,163.0,16,10.2
106,San Francisco 49ers,106,DST,SF,163.0,16,10.2
107,Robby Anderson,108,WR,CAR,162.3,16,10.1
108,Mike Williams,109,WR,LAC,161.3,15,10.8
109,Tyler Higbee,110,TE,LAR,160.4,15,10.7
110,Latavius Murray,111,RB,NO,157.2,16,9.8
111,Dede Westbrook,112,WR,JAC,156.7,15,10.5
112,Chris Conley,113,WR,JAC,156.5,16,9.8
113,Randall Cobb,114,WR,HOU,154.9,15,10.3
114,Duke Johnson Jr.,115,RB,FA,154.0,16,9.6
115,Baltimore Ravens,115,DST,BAL,154.0,16,9.6
116,Carlos Hyde,117,RB,SEA,153.2,16,9.6
117,Justin Tucker,118,K,BAL,153.0,16,9.6
118,Sony Michel,119,RB,NE,152.6,16,9.5
119,Golden Tate,120,WR,FA,152.2,11,13.8
120,Hunter Henry,121,TE,LAC,150.2,12,12.5
121,Devin Singletary,122,RB,BUF,147.9,12,12.3
122,Adrian Peterson,123,RB,DET,147.0,16,9.2
123,Marquise Brown,124,WR,BAL,146.4,14,10.5
124,Jamaal Williams,125,RB,GB,146.3,14,10.5
125,Los Angeles Rams,126,DST,LAR,146.0,16,9.1
126,James Conner,127,RB,PIT,145.5,10,14.6
127,Matt Gay,128,K,LAR,145.0,16,9.1
128,Dallas Goedert,129,TE,PHI,144.7,15,9.7
129,Tyrell Williams,130,WR,DET,143.1,14,10.2
130,Royce Freeman,131,RB,DEN,142.2,16,8.9
131,Minnesota Vikings,132,DST,MIN,142.0,16,8.9
132,Sterling Shepard,133,WR,NYG,141.8,10,14.2
133,David Johnson,134,RB,HOU,141.5,13,10.9
134,,135,,,141.1,11,12.8
135,Danny Amendola,136,WR,DET,140.6,15,9.4
136,Jason Witten,137,TE,LV,139.9,16,8.7
137,Sammy Watkins,138,WR,KC,138.5,14,9.9
138,Breshad Perriman,139,WR,NYJ,138.1,14,9.9
139,New York Jets,140,DST,NYJ,137.0,16,8.6
140,Zane Gonzalez,141,K,FA,136.0,16,8.5
141,Mike Gesicki,141,TE,MIA,136.0,16,8.5
142,Kansas City Chiefs,141,DST,KC,136.0,16,8.5
143,Tevin Coleman,144,RB,SF,135.4,14,9.7
144,Zach Pascal,145,WR,IND,135.3,16,8.5
145,New Orleans Saints,146,DST,NO,135.0,16,8.4
