,Name,Overall Rank,Position,Team,Points,Games Played,Average Points
0,Josh Allen,1,QB,BUF,406.2,16,25.4
1,Kyler Murray,2,QB,ARI,390.7,16,24.4
2,Aaron Rodgers,3,QB,GB,388.1,16,24.3
3,Patrick Mahomes II,4,QB,KC,380.3,15,25.4
4,Alvin Kamara,5,RB,NO,377.8,15,25.2
5,Deshaun Watson,6,QB,HOU,376.4,16,23.5
6,Russell Wilson,7,QB,SEA,372.6,16,23.3
7,Davante Adams,8,WR,GB,358.4,14,25.6
8,Ryan Tannehill,9,QB,TEN,351.3,16,22.0
9,Tom Brady,10,QB,TB,350.0,16,21.9
10,Justin Herbert,11,QB,LAC,342.8,15,22.9
11,Lamar Jackson,12,QB,BAL,341.7,15,22.8
12,Dalvin Cook,13,RB,MIN,337.8,14,24.1
13,Derrick Henry,14,RB,TEN,333.1,16,20.8
14,Tyreek Hill,15,WR,KC,328.9,15,21.9
15,Stefon Diggs,16,WR,BUF,328.6,16,20.5
16,Kirk Cousins,17,QB,MIN,319.2,16,20.0
17,Travis Kelce,18,TE,KC,312.8,15,20.9
18,Matt Ryan,19,QB,ATL,293.3,16,18.3
19,DeAndre Hopkins,20,WR,ARI,287.8,16,18.0
20,Calvin Ridley,21,WR,ATL,281.5,15,18.8
21,Derek Carr,22,QB,LV,281.0,16,17.6
22,Darren Waller,23,TE,LV,278.6,16,17.4
23,Ben Roethlisberger,24,QB,PIT,277.2,15,18.5
24,Justin Jefferson,25,WR,MIN,274.2,16,17.1
25,D.K. Metcalf,26,WR,SEA,271.3,16,17.0
26,Cam Newton,27,QB,NE,271.3,15,18.1
27,Matthew Stafford,28,QB,LAR,270.5,16,16.9
28,Tyler Lockett,29,WR,SEA,265.4,16,16.6
29,David Montgomery,30,RB,CHI,264.8,15,17.7
30,Allen Robinson II,31,WR,CHI,262.9,16,16.4
31,Aaron Jones,32,RB,GB,258.9,14,18.5
32,Baker Mayfield,33,QB,CLE,256.8,16,16.1
33,Adam Thielen,34,WR,MIN,254.0,15,16.9
34,Jared Goff,35,QB,DET,253.0,15,16.9
35,Jonathan Taylor,36,RB,IND,252.8,15,16.9
36,Teddy Bridgewater,37,QB,CAR,252.1,15,16.8
37,Philip Rivers,38,QB,IND,251.0,16,15.7
38,James Robinson,39,RB,JAC,250.4,14,17.9
39,Mike Evans,40,WR,TB,248.6,16,15.5
40,A.J. Brown,41,WR,TEN,247.5,14,17.7
41,Keenan Allen,42,WR,LAC,245.1,14,17.5
42,Robert Woods,43,WR,LAR,245.1,16,15.3
43,Amari Cooper,44,WR,DAL,236.8,16,14.8
44,JuJu Smith-Schuster,45,WR,PIT,234.1,16,14.6
45,Brandin Cooks,46,WR,HOU,232.0,15,15.5
46,Josh Jacobs,47,RB,LV,231.3,15,15.4
47,Marvin Jones Jr.,48,WR,DET,227.8,16,14.2
48,Robby Anderson,49,WR,CAR,224.2,16,14.0
49,Terry McLaurin,50,WR,WAS,223.8,15,14.9
50,Ezekiel Elliott,51,RB,DAL,223.7,15,14.9
51,Diontae Johnson,52,WR,PIT,221.8,15,14.8
52,Kareem Hunt,53,RB,CLE,218.5,16,13.7
53,CeeDee Lamb,54,WR,DAL,217.7,16,13.6
54,Drew Brees,55,QB,NO,215.4,12,18.0
55,Chase Claypool,56,WR,PIT,214.9,16,13.4
56,Carson Wentz,57,QB,IND,213.4,12,17.8
57,Curtis Samuel,58,WR,CAR,212.1,15,14.1
58,D.J. Moore,59,WR,CAR,211.5,15,14.1
59,Cooper Kupp,60,WR,LAR,208.7,15,13.9
60,Nick Chubb,61,RB,CLE,207.7,12,17.3
61,Cole Beasley,62,WR,BUF,207.5,15,13.8
62,Mike Davis,63,RB,CAR,206.5,15,13.8
63,Antonio Gibson,64,RB,WAS,202.2,14,14.4
64,Melvin Gordon III,65,RB,DEN,198.4,15,13.2
65,Drew Lock,66,QB,DEN,196.4,13,15.1
66,Tee Higgins,67,WR,CIN,194.6,16,12.2
67,Nyheim Hines,68,RB,IND,193.2,16,12.1
68,Tyler Boyd,69,WR,CIN,192.6,15,12.8
69,Kenyan Drake,70,RB,ARI,192.2,15,12.8
70,Corey Davis,71,WR,TEN,191.4,14,13.7
71,J.D. McKissic,72,RB,WAS,191.4,16,12.0
72,Chris Godwin,73,WR,TB,191.0,12,15.9
73,Daniel Jones,74,QB,NYG,190.2,14,13.6
74,D'Andre Swift,75,RB,DET,189.8,13,14.6
75,Will Fuller V,76,WR,HOU,188.9,11,17.2
76,Jarvis Landry,77,WR,CLE,188.0,15,12.5
77,Chris Carson,78,RB,SEA,187.8,12,15.7
78,Ronald Jones II,79,RB,TB,186.3,14,13.3
79,Nelson Agholor,80,WR,LV,185.6,16,11.6
80,Brandon Aiyuk,81,WR,SF,184.5,12,15.4
81,Marquise Brown,82,WR,BAL,183.0,16,11.4
82,Russell Gage,83,WR,ATL,181.1,16,11.3
83,David Johnson,84,RB,HOU,179.5,12,15.0
84,Joe Burrow,85,QB,CIN,178.6,10,17.9
85,Robert Tonyan,86,TE,GB,176.6,16,11.0
86,Logan Thomas,87,TE,WAS,176.6,16,11.0
87,Clyde Edwards-Helaire,88,RB,KC,176.0,13,13.5
88,T.J. Hockenson,89,TE,DET,175.3,16,11.0
89,Michael Gallup,90,WR,DAL,173.3,16,10.8
90,Jamison Crowder,91,WR,NYJ,172.0,12,14.3
91,Jason Sanders,91,K,MIA,172.0,16,10.8
92,Miles Sanders,93,RB,PHI,170.4,12,14.2
93,Mark Andrews,94,TE,BAL,170.1,14,12.2
94,J.K. Dobbins,95,RB,BAL,168.5,15,11.2
95,Chase Edmonds,96,RB,ARI,168.0,16,10.5
96,Younghoe Koo,97,K,ATL,168.0,15,11.2
97,DeVante Parker,98,WR,MIA,166.3,14,11.9
98,Gardner Minshew II,99,QB,JAC,165.5,9,18.4
99,Austin Ekeler,100,RB,LAC,165.3,10,16.5
100,Emmanuel Sanders,101,WR,NO,164.8,14,11.8
101,James Conner,102,RB,PIT,164.6,13,12.7
102,T.Y. Hilton,103,WR,IND,164.2,15,11.0
103,Myles Gaskin,104,RB,MIA,164.2,10,16.4
104,Todd Gurley II,105,RB,ATL,163.2,15,10.9
105,Sterling Shepard,106,WR,NYG,162.5,12,13.5
106,Mitchell Trubisky,107,QB,CHI,161.8,10,16.2
107,Ryan Fitzpatrick,108,QB,MIA,161.7,10,16.2
108,Tim Patrick,109,WR,DEN,161.2,15,10.8
109,Mike Gesicki,110,TE,MIA,159.3,15,10.6
110,Taysom Hill,111,QB,NO,158.5,16,9.9
111,Giovani Bernard,112,RB,CIN,158.1,16,9.9
112,Jerry Jeudy,113,WR,DEN,157.6,16,9.9
