,Name,Overall Rank,Position,Team,Points,Games Played,Average Points
0,Antonio Brown,1,WR,TB,380.9,16,23.8
1,Le'Veon Bell,2,RB,KC,370.5,16,23.2
2,Aaron Rodgers,3,QB,GB,354.1,16,22.1
3,DeMarco Murray,4,RB,FA,351.1,16,21.9
4,Andrew Luck,5,QB,FA,350.9,16,21.9
5,Matt Forte,6,RB,FA,346.6,16,21.7
6,Demaryius Thomas,7,WR,FA,340.9,16,21.3
7,Russell Wilson,8,QB,SEA,328.5,16,20.5
8,Jordy Nelson,9,WR,FA,327.9,16,20.5
9,Dez Bryant,10,WR,BAL,316.0,16,19.8
10,,11,,,312.7,16,19.5
11,Ben Roethlisberger,12,QB,PIT,306.2,16,19.1
12,Drew Brees,13,QB,NO,303.9,16,19.0
13,Marshawn Lynch,14,RB,FA,302.3,16,18.9
14,Emmanuel Sanders,15,WR,NO,301.8,16,18.9
15,Julio Jones,16,WR,ATL,297.4,15,19.8
16,Odell Beckham Jr.,17,WR,CLE,295.0,12,24.6
17,Randall Cobb,18,WR,HOU,293.4,16,18.3
18,Matt Ryan,19,QB,ATL,284.0,16,17.8
19,Ryan Tannehill,20,QB,TEN,280.0,16,17.5
20,Tom Brady,21,QB,TB,278.3,16,17.4
21,Jeremy Maclin,22,WR,FA,276.8,16,17.3
22,,23,,,273.5,13,21.0
23,Eddie Lacy,24,RB,FA,272.6,16,17.0
24,Eli Manning,25,QB,FA,269.5,16,16.8
25,Tony Romo,26,QB,FA,266.4,15,17.8
26,Rob Gronkowski,27,TE,TB,266.4,15,17.8
27,Philip Rivers,28,QB,IND,265.7,16,16.6
28,Joe Flacco,29,QB,NYJ,262.4,16,16.4
29,Alshon Jeffery,30,WR,PHI,261.6,16,16.4
30,Golden Tate,31,WR,FA,259.1,16,16.2
31,T.Y. Hilton,32,WR,IND,258.5,15,17.2
32,Jay Cutler,33,QB,FA,256.3,15,17.1
33,Jamaal Charles,34,RB,FA,253.0,15,16.9
34,Matthew Stafford,35,QB,LAR,251.0,16,15.7
35,Colin Kaepernick,36,QB,FA,250.7,16,15.7
36,Cam Newton,37,QB,NE,248.9,14,17.8
37,Justin Forsett,38,RB,FA,246.9,16,15.4
38,Mike Evans,39,WR,TB,245.1,15,16.3
39,DeAndre Hopkins,40,WR,ARI,231.0,16,14.4
40,Jimmy Graham,41,TE,CHI,229.9,16,14.4
41,,42,,,226.7,13,17.4
42,Kelvin Benjamin,43,WR,FA,225.8,16,14.1
43,Andy Dalton,44,QB,DAL,225.5,16,14.1
44,Lamar Miller,45,RB,WAS,223.4,16,14.0
45,,46,,,223.1,16,13.9
46,Alex Smith,47,QB,FA,222.7,15,14.9
47,Julian Edelman,48,WR,NE,222.6,14,15.9
48,Martellus Bennett,49,TE,FA,221.6,16,13.9
49,Greg Olsen,50,TE,FA,220.8,16,13.8
50,Anquan Boldin,51,WR,FA,219.6,16,13.7
51,Steve Smith,52,WR,FA,219.5,16,13.7
52,Mike Wallace,53,WR,FA,212.8,16,13.3
53,,54,,,212.1,14,15.2
54,C.J. Anderson,55,RB,FA,211.3,15,14.1
55,Jeremy Hill,56,RB,FA,210.9,16,13.2
56,Brandon LaFell,57,WR,FA,210.6,16,13.2
57,DeSean Jackson,58,WR,FA,209.6,15,14.0
58,A.J. Green,59,WR,CIN,205.3,13,15.8
59,Jordan Matthews,60,WR,SF,202.2,16,12.6
60,LeSean McCoy,61,RB,TB,200.4,16,12.5
61,Eric Decker,62,WR,FA,200.2,15,13.4
62,Joique Bell,63,RB,FA,198.2,15,13.2
63,Sammy Watkins,64,WR,KC,198.0,16,12.4
64,Matt Asiata,65,RB,FA,194.2,15,13.0
65,Mark Ingram II,66,RB,HOU,191.9,13,14.8
66,Torrey Smith,67,WR,FA,191.7,16,12.0
67,Derek Carr,68,QB,LV,191.6,16,12.0
68,,69,,,190.6,15,12.7
69,,70,,,188.6,14,13.5
70,Giovani Bernard,71,RB,CIN,187.9,13,14.5
71,Alfred Morris,71,RB,NYG,187.9,16,11.7
72,Rueben Randle,73,WR,FA,182.8,16,11.4
73,Jarvis Landry,74,WR,CLE,181.4,16,11.3
74,Eddie Royal,75,WR,FA,181.2,16,11.3
75,Ryan Fitzpatrick,76,QB,MIA,180.2,12,15.0
76,Vincent Jackson,77,WR,FA,180.2,16,11.3
77,Teddy Bridgewater,78,QB,CAR,179.7,13,13.8
78,Mohamed Sanu,79,WR,DET,179.2,16,11.2
79,Brandon Marshall,80,WR,FA,179.1,13,13.8
80,Andre Ellington,81,RB,FA,177.5,12,14.8
81,Travis Kelce,82,TE,KC,177.2,16,11.1
82,,83,,,177.2,16,11.1
83,Coby Fleener,84,TE,FA,176.4,16,11.0
84,,85,,,176.1,12,14.7
85,Delanie Walker,86,TE,FA,176.0,15,11.7
86,Keenan Allen,87,WR,LAC,175.3,14,12.5
87,Kenny Stills,88,WR,BUF,173.9,15,11.6
88,,89,,,173.6,16,10.9
89,,90,,,173.6,16,10.9
90,,91,,,169.2,16,10.6
91,Blake Bortles,92,QB,LAR,168.1,14,12.0
92,Kendall Wright,93,WR,FA,167.9,14,12.0
93,Doug Baldwin,94,WR,FA,167.3,16,10.5
94,Shane Vereen,95,RB,FA,166.8,16,10.4
95,Michael Floyd,96,WR,FA,165.3,16,10.3
96,Robert Woods,97,WR,LAR,164.9,16,10.3
97,Jason Witten,98,TE,LV,164.3,16,10.3
98,Julius Thomas,99,TE,FA,163.9,13,12.6
99,Michael Crabtree,100,WR,FA,162.2,16,10.1
100,Pierre Garcon,101,WR,FA,161.2,16,10.1
101,,102,,,160.1,16,10.0
102,Andrew Hawkins,103,WR,FA,159.0,15,10.6
103,Frank Gore,104,RB,NYJ,158.7,16,9.9
104,Brian Hoyer,105,QB,NE,156.9,14,11.2
105,Allen Hurns,106,WR,MIA,154.7,16,9.7
106,,107,,,154.5,10,15.5
107,Stephen Gostkowski,108,K,TEN,154.0,16,9.6
108,Larry Donnell,109,TE,FA,153.3,16,9.6
109,Chris Ivory,110,RB,FA,152.3,16,9.5
110,,111,,,151.9,15,10.1
111,Larry Fitzgerald,112,WR,ARI,151.4,14,10.8
112,Geno Smith,113,QB,SEA,150.8,14,10.8
113,Terrance Williams,114,WR,FA,147.1,16,9.2
114,John Brown,115,WR,FA,147.0,16,9.2
115,Cody Parkey,116,K,CLE,146.0,16,9.1
116,Jonathan Stewart,117,RB,FA,145.8,13,11.2
117,Darren Sproles,118,RB,FA,145.6,15,9.7
118,Branden Oliver,119,RB,FA,145.3,14,10.4
119,Andre Williams,120,RB,FA,145.0,16,9.1
120,Zach Ertz,121,TE,PHI,144.2,16,9.0
121,Kenny Britt,122,WR,FA,142.2,16,8.9
122,,123,,,141.5,15,9.4
123,Andre Holmes,124,WR,FA,140.3,16,8.8
124,Mark Sanchez,125,QB,FA,139.5,9,15.5
125,Brandin Cooks,126,WR,HOU,139.3,10,13.9
126,Adam Vinatieri,127,K,FA,139.0,16,8.7
127,Rashad Jennings,128,RB,FA,138.5,11,12.6
128,Jermaine Gresham,129,TE,FA,138.0,15,9.2
129,Charles Clay,130,TE,FA,136.5,14,9.8
130,,131,,,135.4,15,9.0
131,Tre Mason,132,RB,FA,135.3,12,11.3
132,Jared Cook,133,TE,FA,133.4,16,8.3
133,Mychal Rivera,134,TE,FA,133.4,16,8.3
134,Markus Wheaton,135,WR,FA,131.3,16,8.2
135,Martavis Bryant,136,WR,FA,130.1,10,13.0
136,,137,,,129.5,13,10.0
137,,138,,,129.0,16,8.1
138,,139,,,128.7,16,8.0
139,Stephen Hauschka,140,K,FA,128.0,16,8.0
140,Dan Carpenter,140,K,FA,128.0,16,8.0
141,,142,,,127.3,14,9.1
142,Dan Bailey,143,K,FA,127.0,16,7.9
143,Josh McCown,144,QB,FA,126.9,11,11.5
144,Mason Crosby,145,K,GB,126.0,16,7.9
145,Randy Bullock,146,K,CIN,125.0,16,7.8
146,Benny Cunningham,147,RB,FA,124.8,16,7.8
147,,148,,,124.7,15,8.3
148,Justin Tucker,149,K,BAL,124.0,16,7.8
149,Matt Bryant,149,K,FA,124.0,16,7.8
150,,151,,,123.0,11,11.2
151,Isaiah Crowell,152,RB,FA,122.4,16,7.7
152,Darren McFadden,153,RB,FA,120.6,16,7.5
153,Harry Douglas,154,WR,FA,120.6,12,10.1
154,Caleb Sturgis,155,K,FA,120.0,16,7.5
155,Jarius Wright,156,WR,FA,119.9,16,7.5
156,Nick Foles,157,QB,CHI,119.3,8,14.9
157,Cecil Shorts,158,WR,FA,118.0,13,9.1
158,,159,,,117.8,15,7.9
159,Allen Robinson II,160,WR,CHI,116.8,10,11.7
160,,161,,,116.7,16,7.3
161,Dwayne Allen,162,TE,FA,116.5,13,9.0
162,,163,,,115.8,12,9.7
163,Chris Johnson,164,RB,FA,115.4,16,7.2
164,Graham Gano,165,K,NYG,115.0,16,7.2
165,Knile Davis,166,RB,FA,115.0,16,7.2
166,,167,,,114.7,16,7.2
167,,168,,,114.0,15,7.6
168,Josh Brown,168,K,FA,114.0,16,7.1
169,Denard Robinson,170,RB,FA,113.6,13,8.7
170,Terrance West,171,RB,FA,112.7,14,8.1
171,Nick Folk,172,K,NE,112.0,16,7.0
172,Bobby Rainey,173,RB,FA,111.1,15,7.4
173,Chandler Catanzaro,174,K,FA,110.0,16,6.9
174,Mike Nugent,174,K,ARI,110.0,16,6.9
175,Cairo Santos,176,K,CHI,108.0,16,6.8
176,Devin Hester,176,WR,FA,108.0,16,6.8
177,Austin Davis,178,QB,FA,107.5,10,10.8
178,,179,,,107.4,14,7.7
179,Taylor Gabriel,180,WR,FA,107.1,16,6.7
180,Reggie Bush,181,RB,FA,107.0,11,9.7
181,Carson Palmer,182,QB,FA,103.6,6,17.3
182,Chris Hogan,183,WR,FA,103.6,16,6.5
183,,184,,,102.5,16,6.4
184,Ronnie Hillman,185,RB,FA,102.3,8,12.8
185,Phil Dawson,186,K,FA,102.0,16,6.4
186,Nick Novak,186,K,FA,102.0,16,6.4
187,Davante Adams,188,WR,GB,100.6,16,6.3
188,Jermaine Kearse,189,WR,FA,99.9,15,6.7
189,Cole Beasley,190,WR,BUF,99.0,16,6.2
190,Kai Forbath,191,K,LAR,99.0,16,6.2
191,Greg Zuerlein,191,K,DAL,99.0,16,6.2
192,,191,,,99.0,16,6.2
193,,194,,,98.4,16,6.2
194,LeGarrette Blount,195,RB,FA,98.1,16,6.1
195,,196,,,98.0,16,6.1
196,Alfred Blue,197,RB,FA,97.1,16,6.1
197,Bishop Sankey,198,RB,FA,96.5,16,6.0
198,Stevie Johnson,198,WR,FA,96.5,13,7.4
199,Donte Moncrief,200,WR,NE,96.1,16,6.0
200,Justin Hunter,201,WR,FA,95.8,12,8.0
201,Drew Stanton,202,QB,TB,94.9,9,10.5
202,Theo Riddick,203,RB,LV,94.7,14,6.8
203,Jordan Reed,204,TE,SF,94.5,11,8.6
204,Jerick McKinnon,205,RB,SF,94.3,11,8.6
205,Niles Paul,206,TE,FA,93.7,16,5.9
206,Jeremy Kerley,207,WR,FA,93.5,16,5.8
207,Cordarrelle Patterson,208,WR,CHI,93.1,16,5.8
208,Andre Roberts,209,WR,BUF,91.4,16,5.7
209,Charles Johnson,209,WR,FA,91.4,11,8.3
210,Tavon Austin,211,WR,GB,90.3,15,6.0
211,Shaun Hill,212,QB,FA,90.2,9,10.0
212,Mike Glennon,213,QB,JAC,89.6,6,14.9
213,Kirk Cousins,214,QB,MIN,88.5,6,14.8
214,,215,,,87.8,16,5.5
215,,216,,,87.7,16,5.5
216,Devonta Freeman,217,RB,BUF,87.3,16,5.5
217,Robert Griffin III,218,QB,FA,87.2,9,9.7
218,,219,,,87.1,7,12.4
219,Patrick Murray,220,K,FA,87.0,16,5.4
220,,220,,,87.0,13,6.7
221,Marqise Lee,222,WR,NE,86.1,13,6.6
222,Latavius Murray,223,RB,NO,85.7,15,5.7
223,Jace Amaro,224,TE,FA,84.5,14,6.0
224,Lance Kendricks,225,TE,FA,82.9,16,5.2
225,Sebastian Janikowski,226,K,FA,82.0,16,5.1
226,,227,,,81.2,14,5.8
227,Louis Murphy,228,WR,FA,81.0,11,7.4
228,Ryan Succop,228,K,TB,81.0,16,5.1
229,,230,,,80.8,14,5.8
230,Doug Martin,230,RB,FA,80.8,11,7.4
231,Brian Quick,232,WR,FA,80.5,7,11.5
232,Jacquizz Rodgers,233,RB,FA,80.0,16,5.0
233,Andrew Quarless,234,TE,FA,79.3,16,5.0
234,Matt Prater,235,K,DET,79.0,11,7.2
235,Jordan Cameron,236,TE,FA,78.4,10,7.8
236,Antone Smith,237,RB,FA,77.6,10,7.8
237,James Starks,238,RB,FA,77.3,16,4.8
238,,239,,,77.0,16,4.8
239,Luke Willson,240,TE,SEA,76.2,15,5.1
240,Marcel Reece,241,RB,FA,76.0,15,5.1
