,Name,Overall Rank,Position,Team,Points,Games Played,Average Points
0,Patrick Mahomes II,1,QB,KC,417.0,16,26.1
1,Saquon Barkley,2,RB,NYG,385.8,16,24.1
2,Christian McCaffrey,3,RB,CAR,385.5,16,24.1
3,Todd Gurley II,4,RB,ATL,372.1,14,26.6
4,Matt Ryan,5,QB,ATL,355.0,16,22.2
5,Alvin Kamara,6,RB,NO,354.2,15,23.6
6,Ben Roethlisberger,7,QB,PIT,342.0,16,21.4
7,DeAndre Hopkins,8,WR,ARI,333.5,16,20.8
8,Deshaun Watson,9,QB,HOU,331.9,16,20.7
9,Davante Adams,10,WR,GB,329.6,15,22.0
10,Ezekiel Elliott,11,RB,DAL,329.2,15,22.0
11,Andrew Luck,12,QB,FA,328.1,16,20.5
12,Tyreek Hill,13,WR,KC,328.0,16,20.5
13,Julio Jones,14,WR,ATL,325.8,16,20.4
14,Antonio Brown,15,WR,TB,323.7,15,21.6
15,Michael Thomas,16,WR,NO,315.5,16,19.7
16,Aaron Rodgers,17,QB,GB,312.5,16,19.5
17,Jared Goff,18,QB,DET,310.3,16,19.4
18,Adam Thielen,19,WR,MIN,307.3,16,19.2
19,Drew Brees,20,QB,NO,304.8,15,20.3
20,Russell Wilson,21,QB,SEA,299.4,16,18.7
21,JuJu Smith-Schuster,22,WR,PIT,296.9,16,18.6
22,Travis Kelce,23,TE,KC,294.6,16,18.4
23,Dak Prescott,24,QB,DAL,285.7,16,17.9
24,Philip Rivers,25,QB,IND,284.9,16,17.8
25,Mike Evans,26,WR,TB,284.4,16,17.8
26,Kirk Cousins,27,QB,MIN,283.1,16,17.7
27,Cam Newton,28,QB,NE,282.6,14,20.2
28,Tom Brady,29,QB,TB,281.4,16,17.6
29,Zach Ertz,30,TE,PHI,280.3,16,17.5
30,James Conner,31,RB,PIT,280.0,13,21.5
31,James White,32,RB,NE,276.6,16,17.3
32,Melvin Gordon III,33,RB,DEN,275.5,12,23.0
33,Stefon Diggs,34,WR,BUF,266.3,15,17.8
34,Robert Woods,35,WR,LAR,265.6,16,16.6
35,Mitchell Trubisky,36,QB,CHI,262.9,14,18.8
36,Keenan Allen,37,WR,LAC,260.1,15,17.3
37,George Kittle,38,TE,SF,258.7,16,16.2
38,David Johnson,39,RB,HOU,246.7,16,15.4
39,Joe Mixon,40,RB,CIN,243.4,14,17.4
40,Brandin Cooks,41,WR,HOU,243.2,15,16.2
41,Baker Mayfield,42,QB,CLE,240.0,14,17.1
42,Eli Manning,42,QB,FA,240.0,16,15.0
43,T.Y. Hilton,44,WR,IND,239.0,14,17.1
44,Tarik Cohen,45,RB,CHI,233.9,16,14.6
45,Odell Beckham Jr.,46,WR,CLE,230.4,12,19.2
46,Kareem Hunt,47,RB,CLE,230.2,11,20.9
47,Phillip Lindsay,48,RB,DEN,222.8,15,14.9
48,Tyler Lockett,49,WR,SEA,222.4,16,13.9
49,Eric Ebron,50,TE,PIT,222.2,16,13.9
50,Tyler Boyd,51,WR,CIN,221.1,14,15.8
51,Jarvis Landry,52,WR,CLE,217.1,16,13.6
52,Derek Carr,53,QB,LV,216.8,16,13.6
53,Amari Cooper,54,WR,DAL,215.4,15,14.4
54,Case Keenum,55,QB,CLE,215.0,16,13.4
55,Matthew Stafford,56,QB,LAR,212.1,16,13.3
56,Josh Allen,57,QB,BUF,208.1,12,17.3
57,Julian Edelman,58,WR,NE,207.4,12,17.3
58,Kenny Golladay,59,WR,DET,207.1,15,13.8
59,Calvin Ridley,60,WR,ATL,206.8,16,12.9
60,Kenyan Drake,61,RB,ARI,206.2,16,12.9
61,Chris Carson,62,RB,SEA,201.4,14,14.4
62,Derrick Henry,63,RB,TEN,201.3,16,12.6
63,Emmanuel Sanders,64,WR,NO,198.2,12,16.5
64,Jameis Winston,65,QB,NO,196.0,11,17.8
65,Nick Chubb,66,RB,CLE,194.5,16,12.2
66,Jared Cook,67,TE,FA,193.6,16,12.1
67,Tevin Coleman,67,RB,SF,193.6,16,12.1
68,Carson Wentz,69,QB,IND,193.4,11,17.6
69,Chicago Bears,70,DST,CHI,191.0,16,11.9
70,Adrian Peterson,71,RB,DET,189.0,16,11.8
71,Adam Humphries,72,WR,FA,188.7,16,11.8
72,Larry Fitzgerald,73,WR,ARI,185.7,16,11.6
73,Alshon Jeffery,74,WR,PHI,185.3,13,14.3
74,Chris Godwin,75,WR,TB,185.2,16,11.6
75,Corey Davis,76,WR,TEN,183.6,16,11.5
76,Golden Tate,77,WR,FA,182.9,15,12.2
77,Sterling Shepard,78,WR,NYG,182.5,16,11.4
78,Mohamed Sanu,79,WR,DET,182.4,16,11.4
79,Mike Williams,80,WR,LAC,180.2,16,11.3
80,Jordan Howard,81,RB,PHI,180.0,16,11.3
81,Marlon Mack,82,RB,IND,178.1,12,14.8
